epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1848,0.53122,0.91909,1.62172,0.97376,0,0.78693,0.76836,0.83763,0.71866,0.7767,0.76033,0.83324,0.69618,0.5516,0.98869,1.05552,0.98155,0,0.000236956,0.000236956,0.000236956
2,164.067,0.58476,0.97454,0.98649,0.99216,0,0.72626,0.75384,0.8157,0.68138,0.70056,0.7877,0.81574,0.68573,0.61155,1.10033,1.18206,1.03482,0,0.000472605,0.000472605,0.000472605
3,240.658,0.61092,0.98743,0.95745,1.00046,0,0.81953,0.7779,0.85622,0.7115,0.78073,0.80558,0.8437,0.70913,0.60973,1.13259,0.99055,1.0354,0,0.000705898,0.000705898,0.000705898
4,317.399,0.5929,0.94773,0.84076,0.9946,0,0.85333,0.82905,0.91304,0.79299,0.86129,0.83148,0.9139,0.78537,0.55202,0.8223,0.79684,0.97994,0,0.000703397,0.000703397,0.000703397
5,394.141,0.58473,0.91894,0.79104,0.98972,0,0.85418,0.85199,0.91705,0.8002,0.86228,0.85976,0.92082,0.79327,0.54003,0.97045,0.71984,0.99654,0,0.000699863,0.000699863,0.000699863
6,470.859,0.55332,0.87306,0.7342,0.97496,0,0.86563,0.86354,0.91677,0.81039,0.86848,0.86666,0.92114,0.8097,0.50283,0.73833,0.66952,0.97529,0,0.000696328,0.000696328,0.000696328
7,547.531,0.53485,0.84078,0.70423,0.95952,0,0.89623,0.90786,0.94274,0.8501,0.89623,0.90786,0.94323,0.84769,0.45911,0.65904,0.5657,0.93134,0,0.000692794,0.000692794,0.000692794
8,624.314,0.51899,0.78688,0.63976,0.9488,0,0.9504,0.91232,0.96418,0.87366,0.9536,0.91554,0.96804,0.87647,0.42566,0.6033,0.4519,0.89951,0,0.00068926,0.00068926,0.00068926
9,701.064,0.498,0.73854,0.62709,0.9406,0,0.88104,0.93053,0.95456,0.85322,0.89262,0.93123,0.95539,0.85655,0.45782,0.65453,0.54854,0.92434,0,0.000685726,0.000685726,0.000685726
10,777.706,0.49473,0.74573,0.59616,0.93657,0,0.91121,0.92838,0.95434,0.8725,0.91121,0.92838,0.95371,0.86908,0.4152,0.61403,0.46644,0.89623,0,0.000682191,0.000682191,0.000682191
